关键词,一级,二级,关键词属性,上报单位,上报时间,入库时间
大色,淫秽色情,色情信息,没定义,广东省惠州市惠东县公安局,"2017-06-07 08:54:37","2017-06-28 09:39:49"
新大洋电狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市东明县公安局,"2017-06-07 15:18:45","2017-06-28 09:39:49"
秃子内脏组装,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市涪陵区公安局,"2017-06-07 10:07:53","2017-06-28 09:39:49"
ppk火狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,海南省昌江黎族自治县公安局,"2017-06-05 15:16:38","2017-06-28 09:39:49"
成品燕尾,法律法规禁止、管制销售的违禁品,涉枪,没定义,广西柳州市公安局柳南分局,"2017-06-08 10:22:35","2017-06-28 09:28:43"
極射,淫秽色情,色情信息,没定义,广东省潮州市公安局,"2017-06-12 10:04:04","2017-06-28 09:23:50"
快手5件,尚无法律法规禁止、管制销售的违,开锁工具,没定义,广东省潮州市公安局,"2017-06-13 14:46:42","2017-06-28 09:20:19"
推女,淫秽色情,淫秽信息,没定义,广东省惠州市博罗县公安局,"2017-06-15 10:41:47","2017-06-28 09:17:25"
夜啪,淫秽色情,色情信息,没定义,广东省惠州市惠东县公安局,"2017-06-15 10:32:21","2017-06-28 09:17:25"
丰满未成年人porno,淫秽色情,淫秽信息,没定义,海南省乐东黎族自治县公安局,"2017-06-14 16:51:54","2017-06-16 17:05:32"
眼镜蛇高压打气筒,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2017-05-10 15:05:33","2017-05-26 14:23:45"
连发pp弹抢,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市东明县公安局,"2017-05-11 11:22:38","2017-05-26 14:23:45"
气吹抢,法律法规禁止、管制销售的违禁品,涉枪,没定义,江西省萍乡市公安局,"2017-05-18 10:13:14","2017-05-26 14:23:45"
细针阀,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市东明县公安局,"2017-05-15 16:25:01","2017-05-26 14:23:45"
齐枪打鸟视频,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2017-05-10 15:09:29","2017-05-26 14:23:45"
一体恒压阀,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市东明县公安局,"2017-05-15 16:28:45","2017-05-26 14:23:45"
高压一体阀,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市东明县公安局,"2017-05-15 15:54:52","2017-05-26 14:23:45"
g18狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,海南省昌江黎族自治县公安局,"2017-05-22 16:25:04","2017-05-26 14:11:25"
交口服务,淫秽色情,网络招嫖,没定义,海南省昌江黎族自治县公安局,"2017-05-16 15:09:17","2017-05-19 16:23:00"
仿绿管子,法律法规禁止、管制销售的违禁品,涉枪,没定义,海南省琼海市公安局,"2017-05-16 08:40:25","2017-05-16 17:11:52"
火机吹制作,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市黔江区公安局,"2017-05-15 17:01:15","2017-05-16 17:11:52"
三挫伦,法律法规禁止、管制销售的违禁品,涉毒,没定义,西藏自治区日喀则地区公安处,"2017-04-06 16:40:35","2017-05-16 08:13:53"
自拍区,淫秽色情,淫秽信息,没定义,重庆市黔江区公安局,"2017-05-15 17:11:33","2017-05-16 08:00:53"
连发排,尚无法律法规禁止、管制销售的违,类枪器械,没定义,西藏自治区日喀则地区公安处,"2017-04-06 16:57:44","2017-05-15 16:53:36"
电磁阀狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市东明县公安局,"2017-05-09 11:16:08","2017-05-15 10:10:36"
麻醉镖枪,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省济宁市公安局,"2017-05-03 09:21:57","2017-05-12 17:24:44"
猎鹰折叠驽,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市忠县公安局,"2017-05-02 09:23:15","2017-05-12 17:24:44"
5.5仿绿,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市涪陵区公安局,"2017-05-04 10:15:19","2017-05-12 17:24:44"
3j改p套件,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市忠县公安局,"2017-05-02 09:21:11","2017-05-12 17:24:44"
国狙,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市云阳县公安局,"2017-05-04 14:52:46","2017-05-12 17:24:43"
恒压阀组装吹,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省烟台市莱阳市公安局,"2017-04-27 09:07:52","2017-05-12 17:21:03"
黄播平台,淫秽色情,淫秽信息,没定义,山东省泰安市宁阳县公安局,"2017-05-09 17:45:53","2017-05-11 08:42:45"
陆四,专项清理,朱镕基上海讲话实录,没定义,上海市公安局青浦分局,"2017-05-02 17:01:50","2017-05-08 08:46:18"
熔铅炉,法律法规禁止、管制销售的违禁品,涉枪,没定义,江西省宜春市铜鼓县公安局,"2017-05-02 17:19:31","2017-05-08 08:46:18"
大毒蛇,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省南京市公安局,"2017-05-03 09:51:39","2017-05-08 08:44:49"
pp抢,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省南京市公安局,"2017-05-03 15:01:02","2017-05-08 08:44:49"
吹箭,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省南京市公安局,"2017-05-03 10:25:36","2017-05-08 08:44:49"
麦枪,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省南京市公安局,"2017-05-03 14:34:00","2017-05-08 08:44:49"
射抢,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省南京市公安局,"2017-05-03 14:48:40","2017-05-08 08:44:49"
ddb系列,淫秽色情,淫秽信息,没定义,重庆市长寿区公安局,"2017-05-03 10:57:20","2017-05-05 14:30:27"
野味枪行,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省济宁市公安局,"2017-04-13 17:22:27","2017-05-04 08:57:26"
羊头拐杖吹,法律法规禁止、管制销售的违禁品,涉枪,没定义,江西省南昌市南昌县公安局,"2017-04-11 16:00:03","2017-05-04 08:57:00"
火机吹打钢珠,法律法规禁止、管制销售的违禁品,涉枪,没定义,江西省南昌市南昌县公安局,"2017-04-11 15:52:10","2017-05-04 08:57:00"
打乌,法律法规禁止、管制销售的违禁品,涉枪,没定义,贵州省黔南州三都水族自治县公安局,"2017-03-09 21:04:25","2017-05-04 08:53:11"
金属波箱,法律法规禁止、管制销售的违禁品,涉枪,没定义,河北省邯郸市公安局峰峰矿区分局,"2017-02-23 10:27:47","2017-05-03 17:15:48"
机械瞄,法律法规禁止、管制销售的违禁品,涉枪,没定义,河北省邯郸市公安局峰峰矿区分局,"2017-02-23 10:45:55","2017-05-03 17:15:48"
达盖尔先锋团,淫秽色情,淫秽信息,没定义,河北省邯郸市公安局峰峰矿区分局,"2017-02-22 11:17:45","2017-04-28 11:03:08"
四号,法律法规禁止、管制销售的违禁品,涉毒,没定义,广东省江门市鹤山市公安局,"2017-04-20 15:01:12","2017-04-25 11:49:24"
弹线管,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市万州区公安局,"2017-04-19 10:42:39","2017-04-21 14:52:23"
中握一体,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市东明县公安局,"2017-04-19 16:24:12","2017-04-21 14:52:08"
4.5钳子,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2017-04-18 14:43:50","2017-04-19 15:30:04"
组装吹,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市公安局江北区分局,"2017-04-12 11:14:42","2017-04-19 15:09:04"
5.5秃管,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市万州区公安局,"2017-03-27 16:24:02","2017-04-19 15:09:04"
加拿大电源株,法律法规禁止、管制销售的违禁品,涉毒,没定义,公安部十一局,"2017-03-12 21:12:45","2017-04-18 13:45:37"
飞草叶子燃料,法律法规禁止、管制销售的违禁品,涉毒,没定义,公安部十一局,"2017-03-12 20:55:47","2017-04-18 13:45:37"
Av一个色综合,淫秽色情,色情信息,没定义,公安部十一局,"2017-04-17 15:59:15","2017-04-18 10:58:51"
艾薇种子,淫秽色情,淫秽信息,没定义,广西玉林市公安局,"2016-10-13 11:46:42","2017-04-18 10:47:47"
18r漫画,淫秽色情,淫秽信息,没定义,公安部十一局,"2017-03-24 16:51:43","2017-04-18 09:48:01"
剁饼子,淫秽色情,网络招嫖,没定义,公安部十一局,"2017-03-28 11:22:00","2017-04-18 09:48:01"
777机组休息仓,淫秽色情,淫秽信息,没定义,四川省乐山市公安局,"2017-04-14 14:41:47","2017-04-14 16:04:13"
代开醱票,法律法规禁止、管制销售的违禁品,假发票,没定义,广东省广州市公安局,"2017-04-12 14:43:15","2017-04-14 08:56:34"
ed套件,法律法规禁止、管制销售的违禁品,涉枪,没定义,上海市公安局普陀分局,"2017-04-07 15:36:04","2017-04-13 15:16:26"
母鸡枪,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省南京市公安局,"2017-04-12 10:23:40","2017-04-13 15:16:26"
卖抢,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省南京市公安局,"2017-04-12 10:11:19","2017-04-13 15:16:26"
秃子钢珠,法律法规禁止、管制销售的违禁品,涉枪,没定义,广东省广州市公安局,"2017-04-06 10:06:08","2017-04-13 15:16:26"
灭火器吹钢珠,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2017-04-06 10:26:29","2017-04-10 09:02:46"
肉笔,淫秽色情,色情信息,没定义,广东省惠州市博罗县公安局,"2017-04-01 08:28:22","2017-04-06 16:54:08"
约泡,淫秽色情,色情信息,没定义,广东省惠州市博罗县公安局,"2017-04-01 08:23:51","2017-04-06 16:54:08"
风油精高利贷,淫秽色情,淫秽信息,没定义,四川省泸州市公安局,"2017-04-01 11:07:51","2017-04-06 16:45:19"
肉便,淫秽色情,淫秽信息,没定义,广东省惠州市博罗县公安局,"2017-03-27 10:38:16","2017-04-06 16:23:07"
秃子内脏大全套,法律法规禁止、管制销售的违禁品,涉枪,没定义,上海市公安局浦东分局,"2017-03-30 11:01:41","2017-04-06 09:22:22"
秃狗6.35,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市东明县公安局,"2017-03-30 15:42:33","2017-04-06 09:22:22"
bb钢珠,法律法规禁止、管制销售的违禁品,涉枪,没定义,广东省广州市公安局,"2017-04-05 11:52:07","2017-04-06 09:15:04"
發嘌,法律法规禁止、管制销售的违禁品,假发票,没定义,广东省广州市公安局,"2017-04-01 14:48:05","2017-04-05 16:58:47"
醱票,法律法规禁止、管制销售的违禁品,假发票,没定义,上海市公安局青浦分局,"2017-03-27 16:31:31","2017-03-30 17:04:06"
琪琪黄鳝,淫秽色情,淫秽信息,没定义,四川省乐山市公安局,"2017-03-27 16:58:38","2017-03-30 08:27:08"
秃燕尾,法律法规禁止、管制销售的违禁品,涉枪,没定义,上海市公安局普陀分局,"2017-03-28 10:49:23","2017-03-28 14:40:38"
利士通,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市巨野县公安局,"2017-03-16 09:59:26","2017-03-22 16:02:00"
求cao,淫秽色情,淫秽信息,没定义,四川省乐山市公安局,"2017-03-11 15:29:43","2017-03-17 15:59:25"
深喉系列,淫秽色情,淫秽信息,没定义,公安部十一局,"2017-03-12 20:13:04","2017-03-17 15:58:59"
借贷宝资源,淫秽色情,淫秽信息,没定义,重庆市长寿区公安局,"2017-03-10 11:35:32","2017-03-13 13:15:50"
原轨原密料,法律法规禁止、管制销售的违禁品,银行卡,没定义,公安部十一局,"2017-03-10 14:28:45","2017-03-13 08:47:48"
外轨道料,法律法规禁止、管制销售的违禁品,银行卡,没定义,公安部十一局,"2017-03-10 14:23:37","2017-03-13 08:47:48"
原轨原密料,法律法规禁止、管制销售的违禁品,银行卡,没定义,公安部十一局,"2017-03-10 14:28:45","2017-03-13 08:43:48"
外轨道料,法律法规禁止、管制销售的违禁品,银行卡,没定义,公安部十一局,"2017-03-10 14:23:37","2017-03-13 08:43:48"
原轨无密,法律法规禁止、管制销售的违禁品,银行卡,没定义,重庆市酉阳县公安局,"2017-03-09 11:05:16","2017-03-10 08:43:42"
鲁格管,法律法规禁止、管制销售的违禁品,涉枪,没定义,辽宁省葫芦岛市公安局,"2017-03-05 18:34:54","2017-03-07 13:33:27"
天天收米,网络赌博,在线赌博,没定义,公安部十一局,"2017-03-01 11:40:53","2017-03-07 12:23:34"
私阴,淫秽色情,色情信息,没定义,广东省惠州市博罗县公安局,"2017-03-01 09:47:33","2017-03-02 10:47:05"
单管击锤,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2017-02-21 14:06:50","2017-03-01 15:11:37"
果贷,淫秽色情,淫秽信息,没定义,四川省乐山市公安局,"2017-02-22 15:52:38","2017-02-23 09:11:24"
达盖尔的旗帜,淫秽色情,淫秽信息,没定义,四川省达州市达县公安局,"2017-02-20 16:18:00","2017-02-22 10:22:58"
caoliushequ,淫秽色情,淫秽信息,没定义,四川省达州市达县公安局,"2017-02-17 23:10:24","2017-02-20 13:26:05"
进口秃,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市东明县公安局,"2017-02-08 16:54:55","2017-02-15 16:01:44"
转管汽抢,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市定陶县公安局,"2017-01-10 16:42:07","2017-02-04 10:31:50"
kidd管子,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市万州区公安局,"2017-01-06 16:20:43","2017-02-04 10:31:50"
秃鹰z阀,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市云阳县公安局,"2017-01-17 17:08:20","2017-02-04 10:31:50"
外送茶服务,淫秽色情,网络招嫖,没定义,公安部十一局,"2017-02-03 13:11:18","2017-02-04 09:54:49"
外送茶坊,淫秽色情,网络招嫖,没定义,公安部十一局,"2017-02-03 12:30:42","2017-02-04 09:54:49"
福利套图,淫秽色情,色情信息,没定义,江西省景德镇市公安局,"2017-01-20 10:09:40","2017-01-23 08:36:29"
果持资源,淫秽色情,淫秽信息,没定义,重庆市长寿区公安局,"2017-01-04 10:53:36","2017-01-16 13:55:55"
粿聊,淫秽色情,淫秽信息,没定义,重庆市南川区公安局,"2016-12-26 10:53:36","2017-01-16 13:55:55"
钢珠弩结构图,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省无锡市公安局,"2016-12-29 19:47:29","2017-01-06 16:01:36"
仿德模具,法律法规禁止、管制销售的违禁品,涉枪,没定义,广东省韶关市公安局,"2016-12-13 10:56:23","2017-01-05 11:20:10"
一出一母鸡,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市成武县公安局,"2016-12-12 10:10:41","2017-01-05 11:20:10"
来福线,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省南京市公安局,"2016-12-09 15:47:14","2017-01-05 11:20:10"
秃鹰堂倌,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市忠县公安局,"2016-12-08 16:27:48","2017-01-05 11:20:10"
秃消声碗,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市忠县公安局,"2016-12-08 16:48:01","2017-01-05 11:20:10"
英国掻本,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市成武县公安局,"2016-12-05 10:59:23","2017-01-03 09:52:44"
兔子中握,法律法规禁止、管制销售的违禁品,涉枪,没定义,辽宁省抚顺市公安局望花分局,"2016-12-06 15:51:04","2017-01-03 09:52:44"
三箭改P,法律法规禁止、管制销售的违禁品,涉枪,没定义,广西柳州市公安局柳南分局,"2016-12-01 10:51:18","2017-01-03 09:52:44"
抢支,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市成武县公安局,"2016-12-02 14:51:48","2017-01-03 09:50:35"
奶水吧论坛,专项清理,成人奶妈,没定义,广东省江门市公安局江海分局,"2016-11-23 08:35:09","2017-01-03 09:46:47"
信誉真实出肉,法律法规禁止、管制销售的违禁品,涉毒,没定义,广东省广州市公安局,"2016-12-20 11:13:11","2016-12-30 15:58:06"
新一代管家婆,网络赌博,六合彩,没定义,广东省潮州市公安局,"2016-12-01 16:10:47","2016-12-29 10:13:17"
苏丹的财富,网络赌博,在线赌博,没定义,广东省惠州市公安局仲恺高新开发区分局,"2016-11-22 10:58:18","2016-12-29 10:13:17"
30連発,淫秽色情,淫秽信息,没定义,广西柳州市公安局柳东分局,"2016-12-02 15:51:31","2016-12-27 10:39:34"
夜桜字幕组,淫秽色情,淫秽信息,没定义,重庆市江津区公安局,"2016-12-01 15:51:25","2016-12-27 10:38:40"
宵夜字幕组,淫秽色情,淫秽信息,没定义,重庆市黔江区公安局,"2016-11-30 09:37:04","2016-12-27 10:38:40"
果贷资源,淫秽色情,淫秽信息,没定义,重庆市公安局大渡口区分局,"2016-12-20 09:46:27","2016-12-27 10:21:52"
肉番全彩漫画,淫秽色情,淫秽信息,没定义,四川省巴中市公安局,"2016-11-03 16:26:31","2016-12-20 15:59:35"
兼职鸭子,淫秽色情,网络招嫖,没定义,广东省广州市公安局,"2016-12-15 14:36:21","2016-12-20 14:04:12"
圆栓小口径,法律法规禁止、管制销售的违禁品,涉枪,没定义,广西南宁市公安局,"2016-11-24 16:23:48","2016-12-09 15:06:11"
母鸡磨具,法律法规禁止、管制销售的违禁品,涉枪,没定义,广东省广州市公安局,"2016-11-22 16:01:21","2016-12-09 15:06:11"
堂线,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市成武县公安局,"2016-11-18 11:14:19","2016-12-09 15:06:11"
乌枪,法律法规禁止、管制销售的违禁品,涉枪,没定义,广东省佛山市公安局,"2016-11-01 09:05:48","2016-12-09 15:06:11"
东营铁院门,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市云阳县公安局,"2016-11-15 10:40:47","2016-12-09 15:06:11"
黑彩,网络赌博,在线赌博,没定义,山东省菏泽市巨野县公安局,"2016-11-21 16:10:37","2016-12-02 16:19:07"
1069,淫秽色情,淫秽信息,没定义,广西柳州市公安局柳东分局,"2016-11-09 11:35:38","2016-12-02 11:03:41"
20連発,淫秽色情,淫秽信息,没定义,广西南宁市公安局,"2016-11-28 15:55:17","2016-11-28 16:33:08"
脸肿字幕组,淫秽色情,淫秽信息,没定义,重庆市江津区公安局,"2016-11-16 10:43:58","2016-11-28 14:21:02"
weed机长,法律法规禁止、管制销售的违禁品,涉毒,没定义,重庆市长寿区公安局,"2016-11-16 14:30:45","2016-11-24 16:25:11"
绿皮5.5,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市万州区公安局,"2016-11-11 10:27:49","2016-11-15 16:06:08"
送弹器,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市成武县公安局,"2016-11-04 10:02:37","2016-11-15 16:02:20"
姐求杆,淫秽色情,网络招嫖,没定义,广西南宁市公安局,"2016-11-09 20:12:08","2016-11-11 14:42:39"
姐求约,淫秽色情,网络招嫖,没定义,广西南宁市公安局,"2016-11-09 19:43:30","2016-11-11 14:42:39"
痴女系,淫秽色情,淫秽信息,没定义,广西南宁市公安局,"2016-11-09 17:05:03","2016-11-11 14:40:25"
气抢管,法律法规禁止、管制销售的违禁品,涉枪,没定义,广西南宁市公安局,"2016-11-08 15:04:44","2016-11-09 15:23:38"
凸鹰配件,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市东明县公安局,"2016-11-01 09:57:35","2016-11-09 15:21:01"
pcp台突狗管,法律法规禁止、管制销售的违禁品,涉枪,没定义,辽宁省大连市公安局金州分局,"2016-10-27 09:49:35","2016-11-09 15:20:48"
雕花1911,法律法规禁止、管制销售的违禁品,涉枪,没定义,四川省乐山市公安局,"2016-11-08 14:19:13","2016-11-09 15:12:27"
夫妻找单女,淫秽色情,网络招嫖,没定义,重庆市彭水县公安局,"2016-11-04 10:47:38","2016-11-07 10:48:08"
内燃吹,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市公安局南岸区分局,"2016-10-17 10:57:31","2016-11-03 16:05:45"
美特气动拔钉枪枪针,法律法规禁止、管制销售的违禁品,涉枪,没定义,广东省广州市公安局,"2016-10-18 15:04:24","2016-11-03 16:05:45"
找帅哥服务,淫秽色情,网络招嫖,没定义,公安部十一局,"2016-08-22 00:00:00","2016-11-03 11:35:11"
男子会所,淫秽色情,网络招嫖,没定义,公安部十一局,"2016-08-22 00:00:00","2016-11-03 11:34:34"
彩弹狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省烟台市公安局莱山分局,"2016-10-11 16:17:14","2016-11-02 16:45:53"
秃鹰高压阀门,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市涪陵区公安局,"2016-10-08 11:16:28","2016-11-02 16:42:27"
弹膛体,法律法规禁止、管制销售的违禁品,涉枪,没定义,广东省惠州市龙门县公安局,"2016-09-30 10:24:18","2016-11-02 16:42:27"
狗弹,法律法规禁止、管制销售的违禁品,涉枪,没定义,西藏自治区日喀则地区公安处,"2016-09-26 10:17:56","2016-11-02 16:40:32"
明锤pcp结构,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市涪陵区公安局,"2016-10-08 10:50:11","2016-11-02 16:40:00"
防身麻醉抢,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省济宁市公安局,"2016-10-11 10:12:05","2016-11-02 16:12:38"
页面紧急升级,淫秽色情,色情信息,没定义,福建省福州市公安局,"2016-10-25 09:49:52","2016-10-25 14:23:53"
夜生活网,淫秽色情,色情信息,没定义,福建省福州市公安局,"2016-10-25 09:48:35","2016-10-25 14:23:53"
夫妻找单男,淫秽色情,网络招嫖,没定义,广西柳州市融安县公安局,"2016-10-13 17:31:45","2016-10-24 15:48:14"
高清摳逼,淫秽色情,淫秽信息,没定义,江苏省无锡市公安局,"2016-10-11 14:14:19","2016-10-24 14:54:47"
土八路弹弓,法律法规禁止、管制销售的违禁品,涉枪,没定义,广西柳州市公安局柳南分局,"2016-09-21 11:46:43","2016-10-18 16:44:12"
飞行员weed燃料,法律法规禁止、管制销售的违禁品,涉毒,没定义,重庆市长寿区公安局,"2016-10-08 09:33:07","2016-10-18 16:21:02"
性绞,淫秽色情,淫秽信息,没定义,重庆市南川区公安局,"2016-09-25 13:09:49","2016-10-14 15:00:15"
素人妻,淫秽色情,淫秽信息,没定义,重庆市公安局九龙坡区分局,"2016-10-10 16:18:38","2016-10-14 14:57:16"
萝莉资源,淫秽色情,淫秽信息,没定义,重庆市彭水县公安局,"2016-10-13 11:45:37","2016-10-14 14:55:02"
擦键盘,淫秽色情,淫秽信息,没定义,广东省韶关市公安局,"2016-10-09 10:44:19","2016-10-12 10:09:47"
陪溜小妹,法律法规禁止、管制销售的违禁品,涉毒,没定义,广东省广州市公安局,"2016-10-10 01:48:00","2016-10-12 10:04:18"
找冰妹,法律法规禁止、管制销售的违禁品,涉毒,没定义,广东省广州市公安局,"2016-10-10 02:05:06","2016-10-12 10:00:05"
邪恶傉动,淫秽色情,淫秽信息,没定义,河北省邯郸市磁县公安局,"2016-08-31 09:54:47","2016-10-10 07:54:54"
拦截料,法律法规禁止、管制销售的违禁品,银行卡,没定义,公安部十一局,"2016-09-30 16:29:47","2016-10-08 16:09:01"
cvv料,法律法规禁止、管制销售的违禁品,银行卡,没定义,公安部十一局,"2016-09-30 16:27:52","2016-10-08 16:09:01"
内料,法律法规禁止、管制销售的违禁品,银行卡,没定义,公安部十一局,"2016-09-30 16:22:29","2016-10-08 16:09:01"
三剑改pcp,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市曹县公安局,"2016-09-22 16:47:43","2016-10-08 16:05:49"
打鸟神器,法律法规禁止、管制销售的违禁品,涉枪,没定义,江苏省南京市公安局,"2016-09-18 10:24:14","2016-10-08 16:04:38"
快吹,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市荣昌县公安局,"2016-09-14 16:08:14","2016-10-08 16:04:38"
diy气室,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市云阳县公安局,"2016-09-14 16:09:10","2016-10-08 16:04:38"
快拍吹,尚无法律法规禁止、管制销售的违,类枪器械,没定义,公安部十一局,"2016-09-30 00:00:00","2016-10-08 16:00:13"
抢图册,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市云阳县公安局,"2016-09-14 15:37:40","2016-10-08 15:45:29"
秃子身子,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市涪陵区公安局,"2016-09-13 12:17:22","2016-10-08 15:45:29"
气压鸟枪,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省济宁市公安局,"2016-09-06 09:07:47","2016-09-29 17:14:31"
雷鸣度,法律法规禁止、管制销售的违禁品,涉枪,没定义,广东省惠州市惠东县公安局,"2016-09-12 10:09:23","2016-09-29 17:14:31"
55仿德,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市涪陵区公安局,"2016-09-08 10:05:44","2016-09-29 17:14:31"
